Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
CP000711_4	ABE08102.1|GH58	100.0	981	0	0	1	981	1	981	0.0	2002
CP051279_19	BAP06081.1|GH90	99.4	172	1	0	7	178	484	655	3.73e-112	338
KC911857_21	AGR48810.1|GH90	100.0	769	0	0	1	769	1	769	0.0	1542
KY630163_153	QIO03412.1|GH90	93.7	520	31	1	1	520	1	518	0.0	949
LR800396_202	QEI23409.1|GH90	98.4	489	8	0	1	489	1	489	0.0	951
LR811969_1	QIO03412.1|GH90	94.0	518	26	1	1	518	1	513	0.0	943
LR811969_207	CAB5509079.1|GH90	100.0	698	0	0	1	698	1	698	0.0	1400
MH523359_133	UJQ70782.1|GH90	87.5	558	42	2	1	553	1	535	0.0	944
MH523359_134	AXF41692.1|GH90	100.0	708	0	0	1	708	1	708	0.0	1338
MH688040_40	AYJ73682.1|GH90	100.0	698	0	0	1	698	1	698	0.0	1408
MK380014_51	YP_009098385.1|PL0	55.1	652	288	4	1	648	1	651	2.11e-245	697
MN066127_40	QEA10162.1|GH90	100.0	698	0	0	1	698	1	698	0.0	1405
MN340231_4	AJB35461.1|GH58	100.0	892	0	0	1	892	1	892	0.0	1827
MN342150_206	WYA89931.1|GH90	97.9	487	10	0	1	487	1	487	0.0	945
MN871493_107	AXC40877.1|GH90	99.6	698	3	0	1	698	1	698	0.0	1398
MN871493_108	UJQ70937.1|GH90	97.1	487	14	0	1	487	1	487	0.0	938
MN871502_1	AXC40877.1|GH90	99.7	698	2	0	1	698	1	698	0.0	1395
MN871502_209	QIO03412.1|GH90	94.2	518	25	1	1	518	1	513	0.0	947
MN871503_7	XDR06003.1|GH90	96.6	675	23	0	1	675	1	675	0.0	1238
MT580117_42	QMP81912.1|GH90	100.0	769	0	0	1	769	1	769	0.0	1546
MT680615_54	YP_009098385.1|PL0	64.2	265	95	0	1	265	387	651	8.35e-113	343
MT682065_52	YP_009098385.1|PL0	94.0	651	39	0	1	651	1	651	0.0	1185
MT774487_14	QMP81739.1|GH90	100.0	655	0	0	1	655	1	655	0.0	1320
MT974436_173	QOE31979.1|GH90	100.0	698	0	0	1	698	1	698	0.0	1408
MW021753_40	AYC62343.1|GH90	100.0	698	0	0	1	698	1	698	0.0	1410
MW021754_204	QPX74344.1|GH90	100.0	698	0	0	1	698	1	698	0.0	1408
MW021754_205	QIO03412.1|GH90	83.3	580	55	3	1	570	1	548	0.0	927
MW021757_123	WYA89931.1|GH90	97.9	487	10	0	1	487	1	487	0.0	946
MW021757_124	QPX74542.1|GH90	100.0	698	0	0	1	698	1	698	0.0	1409
MW021760_199	UJQ70782.1|GH90	97.9	485	10	0	1	485	1	485	0.0	936
MW355475_67	QIO03412.1|GH90	93.6	518	28	1	1	518	1	513	0.0	937
MW650886_2	UJQ70937.1|GH90	86.3	488	66	1	1	488	1	487	1.58e-291	836
MW722083_6	QTH80017.1|GH58	100.0	1039	0	0	1	1039	1	1039	0.0	2110
MZ156570_108	QIO03412.1|GH90	93.5	520	32	1	1	520	1	518	0.0	944
MZ375300_41	UJQ70584.1|GH90	100.0	554	0	0	1	554	1	554	0.0	1053
MZ375311_37	UJQ70584.1|GH90	99.9	675	1	0	1	675	1	675	0.0	1275
MZ375312_38	UJQ70584.1|GH90	99.9	675	1	0	1	675	1	675	0.0	1276
MZ375314_40	UJQ70584.1|GH90	99.9	675	1	0	1	675	1	675	0.0	1276
MZ375315_37	UJQ70584.1|GH90	99.9	675	1	0	1	675	1	675	0.0	1278
MZ375317_39	UJQ70584.1|GH90	99.9	675	1	0	1	675	1	675	0.0	1276
MZ375319_36	UJQ70584.1|GH90	100.0	675	0	0	1	675	1	675	0.0	1278
