genome	type	K_locus	K_type	OC_locus	OC_type	O_type
GCF_000695855.3	Kaptive	KL3	K3-v1	OCL1	OC1	
GCF_000746605.1	Kaptive	KL47	K47	OCL7	unknown	
GCF_000746645.1	Kaptive	KL9	K9	OCL10	unknown	
GCF_000761175.1	Kaptive	KL3	K3	OCL10	unknown	
GCF_000794125.2	Kaptive	KL15	K15	OCL3	unknown	
GCF_000814345.1	Kaptive	KL31	unknown	OCL6	unknown	
GCF_009035845.1_ASM903584v1_genomic	Kaptive	KL3	K3	OCL1	OC1	
GCF_000763245.3	PAst					O2
GCF_000816985.1	PAst					O4
GCF_000829255.1	PAst					O11
GCF_000829275.1	PAst					O11
GCF_000829885.1	PAst					O4
GCF_000981825.1	PAst					O12
