HMM Name	HMM Length	Target Name	Target Length	i-Evalue	HMM From	HMM To	Target From	Target To	Coverage	HMM File Name
GH58.hmm	449	CP000711_4	981	3.520274139257615e-297	1	449	213	661	1.0	dbCAN
GH90.hmm	551	KC911857_21	769	3.2449944882602343e-121	11	549	239	766	0.9782214156079856	dbCAN
GH90.hmm	551	LR811969_207	698	4.315649053234009e-119	3	550	161	698	0.9945553539019965	dbCAN
GH90.hmm	551	MH523359_134	708	1.92130467985484e-310	3	550	161	706	0.9945553539019965	dbCAN
GH90.hmm	551	MH688040_40	698	9.83791193429308e-120	3	550	161	698	0.9945553539019965	dbCAN
GH90.hmm	551	MN066127_40	698	9.83791193429308e-120	3	550	161	698	0.9945553539019965	dbCAN
GH58.hmm	449	MN340231_4	892	2.788514951099401e-297	1	449	124	572	1.0	dbCAN
GH90.hmm	551	MN871493_107	698	3.5431943715904704e-119	3	550	161	698	0.9945553539019965	dbCAN
GH90.hmm	551	MN871502_1	698	9.802022071147385e-119	3	550	161	698	0.9945553539019965	dbCAN
GH90.hmm	551	MN871503_7	675	2.335408165380843e-309	3	551	129	675	0.9963702359346642	dbCAN
GH90.hmm	551	MT580117_42	769	1.4117883053787454e-117	12	549	240	766	0.9764065335753176	dbCAN
GH90.hmm	551	MT774487_14	655	2.8196647957032206e-135	1	549	115	652	0.9963702359346642	dbCAN
GH90.hmm	551	MT974436_173	698	7.181412496998042e-119	3	550	161	698	0.9945553539019965	dbCAN
GH90.hmm	551	MW021753_40	698	9.83791193429308e-120	3	550	161	698	0.9945553539019965	dbCAN
GH90.hmm	551	MW021754_204	698	9.83791193429308e-120	3	550	161	698	0.9945553539019965	dbCAN
GH90.hmm	551	MW021757_124	698	9.83791193429308e-120	3	550	161	698	0.9945553539019965	dbCAN
GH58.hmm	449	MW722083_6	1039	1.1197757758926018e-296	1	449	272	720	1.0	dbCAN
GH90.hmm	551	MZ375300_41	557	2.6972382014717722e-253	3	429	129	555	0.7749546279491834	dbCAN
GH90.hmm	551	MZ375311_37	675	4.445416384765373e-309	3	551	129	675	0.9963702359346642	dbCAN
GH90.hmm	551	MZ375312_38	675	1.301714918722245e-309	3	551	129	675	0.9963702359346642	dbCAN
GH90.hmm	551	MZ375314_40	675	3.642283327460355e-309	3	551	129	675	0.9963702359346642	dbCAN
GH90.hmm	551	MZ375315_37	675	1.5139885374336e-309	3	551	129	675	0.9963702359346642	dbCAN
GH90.hmm	551	MZ375317_39	675	3.734462030785103e-309	3	551	129	675	0.9963702359346642	dbCAN
GH90.hmm	551	MZ375319_36	675	1.71924293780296e-309	3	551	129	675	0.9963702359346642	dbCAN
GH90.hmm	551	MZ375321_37	560	2.03317542887586e-253	3	429	129	555	0.7749546279491834	dbCAN
GH90.hmm	551	MZ375329_36	675	1.326905211929832e-308	3	551	129	675	0.9963702359346642	dbCAN
GH90.hmm	551	MZ375330_35	675	1.994077472559433e-309	3	551	129	675	0.9963702359346642	dbCAN
GH90.hmm	551	MZ375333_37	675	9.7664651126557e-310	3	551	129	675	0.9963702359346642	dbCAN
GH90.hmm	551	MZ375335_37	592	1.552947217376523e-255	3	435	129	561	0.7858439201451906	dbCAN
GH90.hmm	551	MZ375336_36	592	1.552947217376523e-255	3	435	129	561	0.7858439201451906	dbCAN
GH90.hmm	551	MZ375343_35	675	1.01130389296712e-309	3	551	129	675	0.9963702359346642	dbCAN
GH90.hmm	551	MZ375355_31	675	1.38490680229374e-309	3	551	129	675	0.9963702359346642	dbCAN
GH90.hmm	551	MZ375357_36	1033	6.411203710523574e-308	3	551	487	1033	0.9963702359346642	dbCAN
GH90.hmm	551	NC_016761_21	769	3.2449944882602343e-121	11	549	239	766	0.9782214156079856	dbCAN
GH90.hmm	551	NC_021782_67	709	9.053314330135917e-309	3	550	162	707	0.9945553539019965	dbCAN
GH90.hmm	551	NC_022768_38	698	1.299455105380755e-119	3	550	161	698	0.9945553539019965	dbCAN
GH90.hmm	551	NC_022772_39	698	9.83791193429308e-120	3	550	161	698	0.9945553539019965	dbCAN
GH90.hmm	551	NC_024122_130	708	1.92130467985484e-310	3	550	161	706	0.9945553539019965	dbCAN
GH90.hmm	551	NC_031045_4	698	3.991303991706452e-119	3	550	161	698	0.9945553539019965	dbCAN
GH90.hmm	551	NC_031128_114	708	1.92130467985484e-310	3	550	161	706	0.9945553539019965	dbCAN
GH90.hmm	551	NC_042061_131	698	9.83791193429308e-120	3	550	161	698	0.9945553539019965	dbCAN
GH90.hmm	551	NC_049378_96	612	1.1519754137556e-310	3	550	65	610	0.9945553539019965	dbCAN
GH90.hmm	551	NC_049428_42	708	1.53874879723548e-309	3	550	161	706	0.9945553539019965	dbCAN
GH90.hmm	551	NC_049433_177	708	3.082788823359843e-309	3	550	161	706	0.9945553539019965	dbCAN
GH90.hmm	551	NC_049439_55	698	5.422222490598768e-119	3	550	161	698	0.9945553539019965	dbCAN
GH90.hmm	551	NC_049440_53	698	3.043448536182271e-118	3	550	161	698	0.9945553539019965	dbCAN
GH90.hmm	551	NC_049443_1	542	1.4109876772009904e-119	3	550	5	542	0.9945553539019965	dbCAN
GH90.hmm	551	NC_049495_134	698	4.876169835859084e-119	3	550	161	698	0.9945553539019965	dbCAN
GH90.hmm	551	NC_049496_128	698	1.04988552632127e-118	3	550	161	698	0.9945553539019965	dbCAN
GH90.hmm	551	NC_049497_94	698	2.3440443110966965e-119	3	550	161	698	0.9945553539019965	dbCAN
GH90.hmm	551	NC_049500_7	698	3.5431943715904704e-119	3	550	161	698	0.9945553539019965	dbCAN
GH90.hmm	551	NC_049504_7	698	3.5431943715904704e-119	3	550	161	698	0.9945553539019965	dbCAN
GH90.hmm	551	NC_049506_7	698	3.5431943715904704e-119	3	550	161	698	0.9945553539019965	dbCAN
GH90.hmm	551	NC_049507_6	698	4.8564862283382474e-119	3	550	161	698	0.9945553539019965	dbCAN
GH90.hmm	551	NC_049508_6	1024	1.0913157693896393e-118	3	550	487	1024	0.9945553539019965	dbCAN
GH90.hmm	551	NC_049512_106	1024	1.13409116160444e-118	3	550	487	1024	0.9945553539019965	dbCAN
GH90.hmm	551	NC_054639_63	676	2.01825032466237e-309	3	550	129	674	0.9945553539019965	dbCAN
GH90.hmm	551	NC_054643_85	454	3.6950681489707496e-198	3	328	129	454	0.5916515426497277	dbCAN
GH90.hmm	551	NC_054644_60	675	4.03584502840115e-310	3	551	129	675	0.9963702359346642	dbCAN
