query	n_hits	best_any_pident	best_nonself_target	best_nonself_pident	best_nonself_cov%	best_nonself_bits	n_hom_30id50cov	n_hom_50id50cov	novel30	novel50
AB716668_38	6	100.0	AFDB:AF-0000000000029435	64.3	6.0	56.6	0	0	True	True
CP000711_4	704	100.0	AFDB:AF-A0A376L7Y0-F1	99.4	87.0	1738.0	20	10	False	False
CP051279_19	97	100.0	AFDB:AF-0000000006246586	98.8	95.0	332.0	17	17	False	False
HG994092_47	71	97.5	AFDB:AF-0000000000159966	97.8	44.0	888.0	3	0	False	True
KC911857_21	522	99.9	AFDB:AF-A0A5I0L0H9-F1	92.2	100.0	1428.0	274	74	False	False
KY630163_153	118	82.2	AFDB:AF-0000000000095512	82.2	60.0	972.0	6	6	False	False
KY630163_156	138	92.3	AFDB:AF-0000000000021910	92.3	97.0	1381.0	5	4	False	False
LR800396_202	124	96.1	AFDB:AF-0000000000053468	80.7	61.0	959.0	10	10	False	False
LR811967_208	138	90.2	AFDB:AF-0000000000021910	90.2	95.0	693.0	13	6	False	False
LR811969_1	117	96.1	AFDB:AF-0000000000095512	96.1	69.0	934.0	24	24	False	False
LR811969_204	138	95.5	AFDB:AF-0000000000064322	99.6	84.0	1128.0	5	4	False	False
LR811969_207	424	84.4	AFDB:AF-A0A5V3UY86-F1	84.4	77.0	937.0	253	12	False	False
MH523359_133	129	81.0	AFDB:AF-0000000000021910	81.0	65.0	966.0	16	15	False	False
MH523359_134	412	74.8	AFDB:AF-A0A706LZH8-F1	74.8	87.0	876.0	249	199	False	False
MH523359_136	69	89.3	AFDB:AF-0000000010734504	89.3	97.0	1298.0	6	2	False	False
MH688040_40	414	78.6	AFDB:AF-A0A5V3UY86-F1	78.6	86.0	946.0	252	12	False	False
MK380014_51	1	100.0	NONE	0	0	0	0	0	True	True
MK795385_7	20	46.6	AFDB:AF-0000000013980450	46.6	93.0	545.0	11	0	False	True
MK903728_44	12	46.4	AFDB:AF-0000000011368029	46.4	93.0	546.0	4	1	False	False
MN066127_40	414	78.6	AFDB:AF-A0A5V3UY86-F1	78.6	86.0	946.0	252	12	False	False
MN116494_48	92	85.5	AFDB:AF-A0A483WJY8-F1	85.5	73.0	1051.0	58	53	False	False
MN149903_1	71	98.6	AFDB:AF-0000000000159966	98.2	44.0	891.0	4	1	False	False
MN176574_5	69	98.7	AFDB:AF-0000000000159966	98.4	44.0	892.0	3	0	False	True
MN340231_4	393	99.3	AFDB:AF-A0A0H2Z1F7-F1	95.9	95.0	1664.0	22	9	False	False
MN342150_206	97	99.5	AFDB:AF-0000000000021940	91.9	44.0	937.0	0	0	True	True
MN445184_161	138	92.5	AFDB:AF-0000000000021910	92.5	97.0	1384.0	5	4	False	False
MN871445_182	62	59.9	AFDB:AF-A0A6L6Y062-F1	59.9	88.0	948.0	23	4	False	False
MN871493_105	126	66.1	AFDB:AF-0000000005973263	66.1	75.0	694.0	13	10	False	False
MN871493_107	424	84.6	AFDB:AF-A0A5V3UY86-F1	84.6	77.0	940.0	253	12	False	False
MN871493_108	133	96.5	AFDB:AF-0000000000064322	94.5	51.0	1071.0	5	4	False	False
MN871502_1	424	84.4	AFDB:AF-A0A5V3UY86-F1	84.4	77.0	936.0	253	12	False	False
MN871502_209	116	99.9	AFDB:AF-0000000000192189	99.9	66.0	1552.0	5	4	False	False
MN871502_3	134	65.9	AFDB:AF-0000000005973263	65.9	75.0	692.0	13	10	False	False
MN871503_7	425	77.4	AFDB:AF-A0A706LZH8-F1	77.4	94.0	925.0	254	207	False	False
MT542697_45	71	98.7	AFDB:AF-0000000000159966	98.7	44.0	891.0	3	1	False	False
MT580117_42	529	94.7	AFDB:AF-A0A5I0L0H9-F1	94.7	100.0	1463.0	283	84	False	False
MT680615_54	1	94.3	AFDB:AF-0000000000327918	94.3	100.0	513.0	1	1	False	False
MT682065_52	1	56.4	AFDB:AF-0000000000327918	56.4	100.0	738.0	1	1	False	False
MT774487_14	712	99.7	AFDB:AF-A0A3V9PTG9-F1	94.4	100.0	1249.0	279	244	False	False
MT813140_34	71	96.8	AFDB:AF-0000000000159966	95.1	44.0	865.0	3	0	False	True
