protein_id	label	y	cluster	genome_family	host_domain	host_layer	length	split	lofo
PQ656107_140	depolymerase	1	PQ656107_140	Ackermannviridae	bacteria	known	1072	train	train
PQ066595_195	depolymerase	1	PQ066595_195	Ackermannviridae	bacteria	known	1028	test	train
PV683293_134	depolymerase	1	PV683293_134	Ackermannviridae	bacteria	known	837	test	train
PV987926_130	depolymerase	1	PV987926_130	Ackermannviridae	bacteria	known	998	val	train
OR532806_192	depolymerase	1	OR532806_192	Unclassified	bacteria	known	944	train	train
NC_042047_111	depolymerase	1	NC_042047_111	Ackermannviridae	bacteria	known	991	test	train
OK490472_4	depolymerase	1	OK490472_4	Unclassified	bacteria	known	815	val	train
MT857002_108	depolymerase	1	MT857002_108	Ackermannviridae	bacteria	known	1012	val	train
NC_049384_105	depolymerase	1	NC_049384_105	Ackermannviridae	bacteria	known	1110	val	train
PZ196028.1_194	depolymerase	1	PZ196028.1_194	Unclassified	bacteria	known	1040	train	train
ON212266_31	depolymerase	1	ON212266_31	Ackermannviridae	bacteria	known	999	train	train
OL615011_171	depolymerase	1	OL615011_171	Ackermannviridae	bacteria	known	1001	test	train
MW650886_2	depolymerase	1	MW650886_2	Ackermannviridae	bacteria	known	1041	val	train
ON862890_1	depolymerase	1	ON862890_1	Ackermannviridae	bacteria	known	1105	train	train
PP761450_176	depolymerase	1	PP761450_176	Unclassified	bacteria	known	1194	test	train
PV730299_13	depolymerase	1	PV730299_13	Ackermannviridae	bacteria	known	1058	val	train
NC_049502_5	depolymerase	1	NC_049502_5	Ackermannviridae	bacteria	known	948	val	train
OK539832_125	depolymerase	1	OK539832_125	Ackermannviridae	bacteria	known	1000	train	train
NC_049428_41	depolymerase	1	NC_049428_41	Ackermannviridae	bacteria	known	1072	test	train
OR242317_3	depolymerase	1	OR242317_3	Ackermannviridae	bacteria	known	1049	val	train
OR885871_41	depolymerase	1	OR885871_41	Ackermannviridae	bacteria	known	1098	train	train
OM688977_55	depolymerase	1	OM688977_55	Ackermannviridae	bacteria	known	1012	train	train
NC_049500_6	depolymerase	1	NC_049500_6	Ackermannviridae	bacteria	known	1046	train	train
OR464140_39	depolymerase	1	OR464140_39	Ackermannviridae	bacteria	known	1072	train	train
PQ863687_90	depolymerase	1	PQ863687_90	Ackermannviridae	bacteria	known	930	train	train
NC_061421_170	depolymerase	1	NC_061421_170	Chimalliviridae	bacteria	known	893	val	train
OK490417_52	depolymerase	1	OK490417_52	Unclassified	bacteria	known	968	train	train
NC_027399_535	depolymerase	1	NC_027399_535	Unclassified	bacteria	known	1194	val	train
PP869623_4	depolymerase	1	PP869623_4	Ackermannviridae	bacteria	known	989	train	train
PQ360875_158	depolymerase	1	PQ360875_158	Unclassified	bacteria	known	973	val	train
NC_048130_47	depolymerase	1	NC_048130_47	Autotranscriptaviridae	bacteria	known	851	train	test
OZ240615_354	depolymerase	1	OZ240615_354	Unclassified	bacteria	known	1314	test	train
KX452697_10	depolymerase	1	KX452697_10	Ackermannviridae	bacteria	known	959	val	train
NC_027399_538	depolymerase	1	NC_027399_538	Unclassified	bacteria	known	889	val	train
ON004963_11	depolymerase	1	ON004963_11	Schitoviridae	bacteria	known	755	val	train
PV112478_191	depolymerase	1	PV112478_191	Unclassified	bacteria	known	1305	train	train
OM816835_32	depolymerase	1	OM816835_32	Unclassified	bacteria	known	892	test	train
PQ133600_16	depolymerase	1	PQ133600_16	Unclassified	bacteria	known	925	train	train
PP919962_27	depolymerase	1	PP919962_27	Unclassified	bacteria	known	946	val	train
NC_070869_82	depolymerase	1	NC_070869_82	Schitoviridae	bacteria	known	930	train	train
MK422448_66	depolymerase	1	MK422448_66	Unclassified	bacteria	known	790	test	train
PV588653_20	depolymerase	1	PV588653_20	Unclassified	bacteria	known	130	val	train
OM194188_1	depolymerase	1	OM194188_1	Autotranscriptaviridae	bacteria	known	876	test	test
OM816836_30	depolymerase	1	OM816836_30	Unclassified	bacteria	known	778	val	train
PQ182779_231	depolymerase	1	PQ182779_231	Unclassified	bacteria	known	804	train	train
PV854176_40	depolymerase	1	PV854176_40	Unclassified	bacteria	known	437	train	train
NC_027399_532	depolymerase	1	NC_027399_532	Unclassified	bacteria	known	737	train	train
NC_061421_308	depolymerase	1	NC_061421_308	Chimalliviridae	bacteria	known	884	train	train
PQ119497_28	depolymerase	1	PQ119497_28	Unclassified	bacteria	known	830	test	train
PQ663821_42	depolymerase	1	PQ663821_42	Unclassified	bacteria	known	829	test	train
PV854177_36	depolymerase	1	PV854177_36	Unclassified	bacteria	known	386	train	train
MZ868725_45	depolymerase	1	MZ868725_45	Autoscriptoviridae	bacteria	known	786	train	train
NC_019526_535	depolymerase	1	NC_019526_535	Unclassified	bacteria	known	1114	train	train
NC_061421_310	depolymerase	1	NC_061421_310	Chimalliviridae	bacteria	known	738	train	train
PQ571294_4	depolymerase	1	PQ571294_4	Unclassified	bacteria	known	834	test	train
PV506378.1_41	depolymerase	1	PV506378.1_41	Autotranscriptaviridae	bacteria	known	802	val	test
PX694419.1_44	depolymerase	1	PX694419.1_44	Autotranscriptaviridae	bacteria	known	778	train	test
NC_061421_311	depolymerase	1	NC_061421_311	Chimalliviridae	bacteria	known	752	train	train
PX974332.1_46	depolymerase	1	PX974332.1_46	Drexlerviridae	bacteria	known	740	test	train
NC_028800_41	depolymerase	1	NC_028800_41	Autotranscriptaviridae	bacteria	known	818	train	test
OY979392_47	depolymerase	1	OY979392_47	Autotranscriptaviridae	bacteria	known	876	val	test
OQ790080_16	depolymerase	1	OQ790080_16	Autotranscriptaviridae	bacteria	known	336	train	test
OY979435_21	depolymerase	1	OY979435_21	Drexlerviridae	bacteria	known	730	train	train
PV539235_62	depolymerase	1	PV539235_62	Unclassified	bacteria	known	737	train	train
OY979393_44	depolymerase	1	OY979393_44	Autotranscriptaviridae	bacteria	known	288	train	test
PX670398.1_44	depolymerase	1	PX670398.1_44	Unclassified	bacteria	known	1102	train	train
OK490415_68	depolymerase	1	OK490415_68	Unclassified	bacteria	known	676	train	train
OY979396_47	depolymerase	1	OY979396_47	Autotranscriptaviridae	bacteria	known	869	train	test
NC_027399_534	depolymerase	1	NC_027399_534	Unclassified	bacteria	known	703	val	train
NC_027399_540	depolymerase	1	NC_027399_540	Unclassified	bacteria	known	768	train	train
OY976571_48	depolymerase	1	OY976571_48	Autotranscriptaviridae	bacteria	known	764	test	test
NC_061421_309	depolymerase	1	NC_061421_309	Chimalliviridae	bacteria	known	743	train	train
PX904472.1_245	depolymerase	1	PX904472.1_245	Unclassified	bacteria	known	890	test	train
MN923124_19	depolymerase	1	MN923124_19	Unclassified	bacteria	known	822	test	train
NC_071131_32	depolymerase	1	NC_071131_32	Unclassified	bacteria	known	823	test	train
OR256020_32	depolymerase	1	OR256020_32	Drexlerviridae	bacteria	known	866	train	train
NC_071011_56	depolymerase	1	NC_071011_56	Unclassified	bacteria	known	719	train	train
NC_061418_98	depolymerase	1	NC_061418_98	Chimalliviridae	bacteria	known	883	train	train
NC_049843_23	depolymerase	1	NC_049843_23	Drexlerviridae	bacteria	known	813	train	train
NC_061421_312	depolymerase	1	NC_061421_312	Chimalliviridae	bacteria	known	680	train	train
PP889490_200	depolymerase	1	PP889490_200	Unclassified	bacteria	known	322	train	train
NC_071141_16	depolymerase	1	NC_071141_16	Unclassified	bacteria	known	660	train	train
PX694432_38	depolymerase	1	PX694432_38	Unclassified	bacteria	known	672	train	train
PX997131.1_43	depolymerase	1	PX997131.1_43	Unclassified	bacteria	known	672	train	train
OP125547_2	depolymerase	1	OP125547_2	Zobellviridae	bacteria	known	791	test	train
OY979481_23	depolymerase	1	OY979481_23	Drexlerviridae	bacteria	known	953	train	train
NC_071144_85	depolymerase	1	NC_071144_85	Unclassified	bacteria	known	217	train	train
OY757062_59	depolymerase	1	OY757062_59	Autoscriptoviridae	bacteria	known	780	train	train
PX131137.1_72	depolymerase	1	PX131137.1_72	Unclassified	bacteria	known	778	train	train
PQ049254_6	depolymerase	1	PQ049254_6	Autoscriptoviridae	bacteria	known	1013	train	train
OK583892_54	depolymerase	1	OK583892_54	Autoscriptoviridae	bacteria	known	591	train	train
MN871444_110	depolymerase	1	MN871444_110	Unclassified	bacteria	known	592	train	train
MN871453_75	depolymerase	1	MN871453_75	Unclassified	bacteria	known	729	val	train
PP848842_2	depolymerase	1	PP848842_2	Unclassified	bacteria	known	842	val	train
MN871453_73	depolymerase	1	MN871453_73	Unclassified	bacteria	known	952	val	train
NC_031077_25	depolymerase	1	NC_031077_25	Unclassified	bacteria	known	853	train	train
NC_061421_199	depolymerase	1	NC_061421_199	Chimalliviridae	bacteria	known	661	train	train
NC_019445_50	depolymerase	1	NC_019445_50	Unclassified	bacteria	known	698	train	train
