Gene ID	EC#	dbCAN_hmm	dbCAN_sub	DIAMOND	#ofTools	Recommend Results	Substrate
CP000711_4	-	GH58(213-661)	-	GH58	2	GH58	-
CP051279_19	-	-	-	GH90	1	-	-
KC911857_21	-	GH90(239-766)	-	GH90	2	GH90	-
KY630163_153	-	-	-	GH90	1	-	-
LR800396_202	-	-	-	GH90	1	-	-
LR811969_1	-	-	-	GH90	1	-	-
LR811969_207	-	GH90(161-698)	-	GH90	2	GH90	-
MH523359_133	-	-	-	GH90	1	-	-
MH523359_134	-	GH90(161-706)	-	GH90	2	GH90	-
MH688040_40	-	GH90(161-698)	-	GH90	2	GH90	-
MK380014_51	-	-	-	PL0	1	-	-
MN066127_40	-	GH90(161-698)	-	GH90	2	GH90	-
MN340231_4	-	GH58(124-572)	-	GH58	2	GH58	-
MN342150_206	-	-	-	GH90	1	-	-
MN871493_107	-	GH90(161-698)	-	GH90	2	GH90	-
MN871493_108	-	-	-	GH90	1	-	-
MN871502_1	-	GH90(161-698)	-	GH90	2	GH90	-
MN871502_209	-	-	-	GH90	1	-	-
MN871503_7	-	GH90(129-675)	-	GH90	2	GH90	-
MT580117_42	-	GH90(240-766)	-	GH90	2	GH90	-
MT680615_54	-	-	-	PL0	1	-	-
MT682065_52	-	-	-	PL0	1	-	-
MT774487_14	-	GH90(115-652)	-	GH90	2	GH90	-
MT974436_173	-	GH90(161-698)	-	GH90	2	GH90	-
MW021753_40	-	GH90(161-698)	-	GH90	2	GH90	-
MW021754_204	-	GH90(161-698)	-	GH90	2	GH90	-
MW021754_205	-	-	-	GH90	1	-	-
MW021757_123	-	-	-	GH90	1	-	-
MW021757_124	-	GH90(161-698)	-	GH90	2	GH90	-
MW021760_199	-	-	-	GH90	1	-	-
MW355475_67	-	-	-	GH90	1	-	-
MW650886_2	-	-	-	GH90	1	-	-
MW722083_6	-	GH58(272-720)	-	GH58	2	GH58	-
MZ156570_108	-	-	-	GH90	1	-	-
MZ375300_41	-	GH90(129-555)	-	GH90	2	GH90	-
MZ375311_37	-	GH90(129-675)	-	GH90	2	GH90	-
MZ375312_38	-	GH90(129-675)	-	GH90	2	GH90	-
MZ375314_40	-	GH90(129-675)	-	GH90	2	GH90	-
MZ375315_37	-	GH90(129-675)	-	GH90	2	GH90	-
MZ375317_39	-	GH90(129-675)	-	GH90	2	GH90	-
MZ375319_36	-	GH90(129-675)	-	GH90	2	GH90	-
MZ375321_37	-	GH90(129-555)	-	GH90	2	GH90	-
MZ375329_36	-	GH90(129-675)	-	GH90	2	GH90	-
MZ375330_35	-	GH90(129-675)	-	GH90	2	GH90	-
MZ375333_37	-	GH90(129-675)	-	GH90	2	GH90	-
MZ375335_37	-	GH90(129-561)	-	GH90	2	GH90	-
MZ375336_36	-	GH90(129-561)	-	GH90	2	GH90	-
MZ375343_35	-	GH90(129-675)	-	GH90	2	GH90	-
MZ375355_31	-	GH90(129-675)	-	GH90	2	GH90	-
MZ375357_36	-	GH90(487-1033)	-	GH90	2	GH90	-
NC_016570_169	-	-	-	GH90	1	-	-
NC_016761_21	-	GH90(239-766)	-	GH90	2	GH90	-
NC_019452_167	-	-	-	GH90	1	-	-
NC_021782_67	-	GH90(162-707)	-	GH90	2	GH90	-
NC_022768_38	-	GH90(161-698)	-	GH90	2	GH90	-
NC_022772_39	-	GH90(161-698)	-	GH90	2	GH90	-
NC_024122_129	-	-	-	GH90	1	-	-
NC_024122_130	-	GH90(161-706)	-	GH90	2	GH90	-
NC_025418_53	-	-	-	PL0	1	-	-
NC_027399_538	-	-	-	GH0	1	-	-
NC_028670_54	-	-	-	PL0	1	-	-
NC_031025_50	-	-	-	PL0	1	-	-
NC_031045_4	-	GH90(161-698)	-	GH90	2	GH90	-
NC_031045_5	-	-	-	GH90	1	-	-
NC_031128_114	-	GH90(161-706)	-	GH90	2	GH90	-
NC_031128_115	-	-	-	GH90	1	-	-
NC_031246_50	-	-	-	PL0	1	-	-
NC_042041_41	-	-	-	GH0	1	-	-
NC_042061_131	-	GH90(161-698)	-	GH90	2	GH90	-
NC_042061_132	-	-	-	GH90	1	-	-
NC_049378_96	-	GH90(65-610)	-	GH90	2	GH90	-
NC_049378_98	-	-	-	GH90	1	-	-
NC_049382_75	-	-	-	GH90	1	-	-
NC_049396_161	-	-	-	GH90	1	-	-
NC_049427_173	-	-	-	GH90	1	-	-
NC_049428_41	-	-	-	GH90	1	-	-
NC_049428_42	-	GH90(161-706)	-	GH90	2	GH90	-
NC_049433_176	-	-	-	GH90	1	-	-
NC_049433_177	-	GH90(161-706)	-	GH90	2	GH90	-
NC_049439_55	-	GH90(161-698)	-	GH90	2	GH90	-
NC_049440_53	-	GH90(161-698)	-	GH90	2	GH90	-
NC_049440_54	-	-	-	GH90	1	-	-
NC_049443_1	-	GH90(5-542)	-	GH90	2	GH90	-
NC_049443_203	-	-	-	GH90	1	-	-
NC_049495_133	-	-	-	GH90	1	-	-
NC_049495_134	-	GH90(161-698)	-	GH90	2	GH90	-
NC_049496_128	-	GH90(161-698)	-	GH90	2	GH90	-
NC_049496_129	-	-	-	GH90	1	-	-
NC_049497_93	-	-	-	GH90	1	-	-
NC_049497_94	-	GH90(161-698)	-	GH90	2	GH90	-
NC_049500_6	-	-	-	GH90	1	-	-
NC_049500_7	-	GH90(161-698)	-	GH90	2	GH90	-
NC_049501_1	-	-	-	GH90	1	-	-
NC_049504_6	-	-	-	GH90	1	-	-
NC_049504_7	-	GH90(161-698)	-	GH90	2	GH90	-
NC_049505_6	-	-	-	GH90	1	-	-
NC_049506_6	-	-	-	GH90	1	-	-
NC_049506_7	-	GH90(161-698)	-	GH90	2	GH90	-
NC_049507_5	-	-	-	GH90	1	-	-
NC_049507_6	-	GH90(161-698)	-	GH90	2	GH90	-
NC_049508_6	-	GH90(487-1024)	-	GH90	2	GH90	-
NC_049512_106	-	GH90(487-1024)	-	GH90	2	GH90	-
NC_054639_63	-	GH90(129-674)	-	GH90	2	GH90	-
NC_054643_85	-	GH90(129-454)	-	GH90	2	GH90	-
NC_054644_60	-	GH90(129-675)	-	GH90	2	GH90	-
NC_054645_9	-	GH90(129-675)	-	GH90	2	GH90	-
NC_054646_44	-	GH90(129-675)	-	GH90	2	GH90	-
OK539832_125	-	-	-	GH90	1	-	-
OK539832_126	-	GH90(161-698)	-	GH90	2	GH90	-
OK625527_1	-	-	-	PL0	1	-	-
OL656110_161	-	GH33(552-879)	-	GH90	2	GH33	-
OL744215_1	-	-	-	PL0	1	-	-
OL744218_1	-	-	-	PL0	1	-	-
OL964734_38	-	GH90(129-675)	-	GH90	2	GH90	-
OL964738_39	-	GH90(487-1024)	-	GH90	2	GH90	-
OL964744_37	-	GH90(129-675)	-	GH90	2	GH90	-
OL964746_36	-	GH90(487-758)	-	GH90	2	GH90	-
OL964751_36	-	GH90(129-675)	-	GH90	2	GH90	-
OL964752_36	-	GH90(129-675)	-	GH90	2	GH90	-
OL964753_36	-	GH90(487-758)	-	GH90	2	GH90	-
OM367911_168	-	-	-	GH90	1	-	-
OM681507_133	-	-	-	GH90	1	-	-
OM688977_55	-	-	-	GH90	1	-	-
OM816837_2	-	-	-	PL0	1	-	-
ON169961_115	-	-	-	GH90	1	-	-
ON169962_117	-	-	-	GH90	1	-	-
ON169962_118	-	GH90(161-698)	-	GH90	2	GH90	-
ON169963_114	-	-	-	GH90	1	-	-
ON169963_115	-	GH90(161-698)	-	GH90	2	GH90	-
ON184126_1	-	GH33(350-677)	-	GH90	2	GH33	-
ON323462_169	-	-	-	GH90	1	-	-
ON470605_8	-	GH58(213-661)	-	GH58	2	GH58	-
ON602748_34	-	-	-	PL0	1	-	-
ON809559_34	-	-	-	PL0	1	-	-
ON809764_201	-	GH90(487-1032)	-	GH90	2	GH90	-
ON862890_1	-	-	-	GH90	1	-	-
OOM_MN176573_8	-	-	-	GH24	1	-	-
OOM_MZ826764_151	-	-	-	GH90	1	-	-
OOM_NC_047900_31	-	-	-	GH90	1	-	-
OOM_OR982685_9	-	-	-	GH24	1	-	-
OOM_OZ240615_354	-	-	-	GH24	1	-	-
OOM_PP728208_47	-	-	-	GH24	1	-	-
OOM_PP889483_51	-	-	-	GH24	1	-	-
OOM_PQ133599_42	-	-	-	GH24	1	-	-
OOM_PV155695_6	-	-	-	GH24	1	-	-
OOM_PV588648_36	-	-	-	GH90	1	-	-
OOM_PV588649_37	-	-	-	GH90	1	-	-
OOM_PX670392.1_52	-	-	-	GH24	1	-	-
OP079918_46	-	-	-	PL0	1	-	-
OP423032_38	-	GH90(161-698)	-	GH90	2	GH90	-
OP610151_174	-	-	-	GH90	1	-	-
OP828573_111	-	-	-	GH90	1	-	-
OP828573_112	-	GH90(161-706)	-	GH90	2	GH90	-
OP924281_91	-	-	-	GH90	1	-	-
OP978318_173	-	GH90(161-706)	-	GH90	2	GH90	-
OP978318_174	-	-	-	GH90	1	-	-
OP991882_202	-	-	-	GH90	1	-	-
OP991882_203	-	GH90(161-706)	-	GH90	2	GH90	-
OQ267695_22	-	GH90(129-675)	-	GH90	2	GH90	-
OQ359883_170	-	-	-	GH90	1	-	-
OQ359884_174	-	GH90(161-698)	-	GH90	2	GH90	-
OQ455241.1_81	-	GH90(161-706)	-	GH90	2	GH90	-
OQ455241.1_82	-	-	-	GH90	1	-	-
OQ503491_12	-	-	-	PL0	1	-	-
OQ660437_37	-	-	-	GH90	1	-	-
OQ734493_19	-	-	-	PL0	1	-	-
OQ871562_48	-	-	-	PL0	1	-	-
