protein_id,category,host_raw,host_domain,genome_genus,genome_family,protein_length,best_evalue,n_pfam,n_cdd,n_superfamily,cazy_layer,tmhmm_predhel_approx,signal_peptide_approx,genome_completeness,genome_checkv_quality,fold_homolog,mean_plddt,n_pockets,substrate_inferred,novelty,transfer_value,total_score
PQ133613_14,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,858,2.20e-66,1,0,0,PL(class),0,no,100.0,Complete,AF-A0AB74GKH7-F1,89.6,44,荚膜多糖（推断）,0.531,CRKP/PA/AB 临床重点菌,0.854
PQ963940_37,depolymerase,Klebsiella,bacteria,Webervirus,Drexlerviridae,858,2.20e-66,1,0,0,PL(class),0,no,88.43,Medium-quality,AF-A0AB74GKH7-F1,89.6,44,荚膜多糖（推断）,0.53,CRKP/PA/AB 临床重点菌,0.8539
OR492660_32,depolymerase,Klebsiella,bacteria,Webervirus,Drexlerviridae,858,2.20e-66,1,0,0,PL(class),0,no,100.0,Complete,AF-A0AB74GKH7-F1,89.6,44,荚膜多糖（推断）,0.53,CRKP/PA/AB 临床重点菌,0.8539
PQ360875_158,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,973,9.50e-77,2,0,0,"CAZy(tailspike,class待定)",0,yes,100.0,Complete,AF-A0A6L6Y8Z9-F1,89.0,43,荚膜多糖（推断）,0.383,CRKP/PA/AB 临床重点菌,0.8309
PX694328.1_47,lysin,Pseudomonas,bacteria,Unclassified,Unclassified,695,6.40e-181,1,1,1,GH23,0,no,92.97,High-quality,AF-A0A5R9QAM7-F1,62.8,71,肽聚糖（推断）,0.601,CRKP/PA/AB 临床重点菌,0.8094
LC805023_42,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,302,6.90e-200,1,1,1,GH23,0,no,90.31,High-quality,AF-A0A1H7AFZ4-F1,91.4,6,肽聚糖（推断）,0.307,CRKP/PA/AB 临床重点菌,0.8082
PV775411_17,lysin,Klebsiella,bacteria,Vectrevirus,Autosignataviridae,983,9.70e-81,1,0,1,GH24,0,no,94.14,High-quality,,,,肽聚糖（推断）,0.692,CRKP/PA/AB 临床重点菌,0.8038
OR636104_242,holin,Acinetobacter,bacteria,Unclassified,Straboviridae,244,8.40e-58,1,0,0,none,1,no,85.25,Medium-quality,,,,膜成孔（内溶素协同，推断）,0.578,CRKP/PA/AB 临床重点菌,0.8017
MT741943_237,holin,Acinetobacter,bacteria,Lazarusvirus,Straboviridae,244,8.40e-58,1,0,0,none,1,no,85.18,Medium-quality,,,,膜成孔（内溶素协同，推断）,0.573,CRKP/PA/AB 临床重点菌,0.801
NC_049441_36,holin,Acinetobacter,bacteria,Lazarusvirus,Straboviridae,244,8.40e-58,1,0,0,none,1,no,100.0,Complete,,,,膜成孔（内溶素协同，推断）,0.573,CRKP/PA/AB 临床重点菌,0.801
NC_014661_235,holin,Acinetobacter,bacteria,Lasallevirus,Straboviridae,227,2.00e-60,1,0,0,none,2,yes,83.99,Medium-quality,,,,膜成孔（内溶素协同，推断）,0.568,CRKP/PA/AB 临床重点菌,0.8002
OP946501_239,holin,Acinetobacter,bacteria,Lazarusvirus,Straboviridae,243,8.40e-58,1,0,0,none,1,no,83.48,Medium-quality,,,,膜成孔（内溶素协同，推断）,0.568,CRKP/PA/AB 临床重点菌,0.8002
OZ038339_201,holin,Acinetobacter,bacteria,Unclassified,Unclassified,244,8.40e-58,1,0,0,none,2,no,100.0,Complete,,,,膜成孔（内溶素协同，推断）,0.568,CRKP/PA/AB 临床重点菌,0.8002
MT385367_243,holin,Acinetobacter,bacteria,Lazarusvirus,Straboviridae,244,8.40e-58,1,0,0,none,2,no,84.52,Medium-quality,,,,膜成孔（内溶素协同，推断）,0.568,CRKP/PA/AB 临床重点菌,0.8002
NC_049490_241,holin,Acinetobacter,bacteria,Lazarusvirus,Straboviridae,244,8.40e-58,1,0,0,none,2,no,84.22,Medium-quality,,,,膜成孔（内溶素协同，推断）,0.568,CRKP/PA/AB 临床重点菌,0.8002
MW388003_246,holin,Acinetobacter,bacteria,Hadassahvirus,Straboviridae,244,8.40e-58,1,0,0,none,2,no,85.86,Medium-quality,,,,膜成孔（内溶素协同，推断）,0.568,CRKP/PA/AB 临床重点菌,0.8002
OL770260_248,holin,Acinetobacter,bacteria,Hadassahvirus,Straboviridae,241,3.80e-57,1,0,0,none,1,no,85.08,Medium-quality,,,,膜成孔（内溶素协同，推断）,0.568,CRKP/PA/AB 临床重点菌,0.8002
PQ034586_239,holin,Acinetobacter,bacteria,Lazarusvirus,Straboviridae,241,3.80e-57,1,0,0,none,1,no,84.29,Medium-quality,,,,膜成孔（内溶素协同，推断）,0.568,CRKP/PA/AB 临床重点菌,0.8002
NC_049479_239,holin,Acinetobacter,bacteria,Lazarusvirus,Straboviridae,244,8.40e-58,1,0,0,none,2,no,84.42,Medium-quality,,,,膜成孔（内溶素协同，推断）,0.563,CRKP/PA/AB 临床重点菌,0.7994
OZ038336_68,holin,Acinetobacter,bacteria,Unclassified,Unclassified,243,8.40e-58,1,0,0,none,1,no,100.0,Complete,,,,膜成孔（内溶素协同，推断）,0.563,CRKP/PA/AB 临床重点菌,0.7994
PX093057_9,holin,Acinetobacter,bacteria,Unclassified,Unclassified,241,3.80e-57,1,0,0,none,1,no,85.52,Medium-quality,,,,膜成孔（内溶素协同，推断）,0.563,CRKP/PA/AB 临床重点菌,0.7994
PP554577_32,lysin,Pseudomonas,bacteria,Unclassified,Unclassified,1400,5.60e-190,1,1,1,GH23,0,no,93.29,High-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.521,CRKP/PA/AB 临床重点菌,0.7994
NC_048200_36,lysin,Pseudomonas,bacteria,Hennigervirus,Autotranscriptaviridae,1400,6.60e-196,1,0,1,GH23,0,no,100.0,Complete,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.517,CRKP/PA/AB 临床重点菌,0.7989
OY979398_50,lysin,Klebsiella,bacteria,Gansuvirus,Autosignataviridae,979,9.20e-189,1,0,1,GH24,0,no,94.5,High-quality,,,,肽聚糖（推断）,0.659,CRKP/PA/AB 临床重点菌,0.7989
PZ055573.1_41,lysin,Pseudomonas,bacteria,Unclassified,Unclassified,1400,6.60e-196,1,1,1,GH23,0,no,94.48,High-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.516,CRKP/PA/AB 临床重点菌,0.7987
NC_028661_43,lysin,Pseudomonas,bacteria,Hennigervirus,Autotranscriptaviridae,1401,6.60e-196,1,1,1,GH23,0,no,95.46,High-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.515,CRKP/PA/AB 临床重点菌,0.7985
